"SNo","CaseID","KafkaJSON","APIResponse","Status"
"11","{u'_id': ObjectId('562f0a30a9728d0c2c8f5589'), u'relationship': [{u'accountId': 100370300, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132001}, {u'accountId': 100370300, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}, {u'accountId': 100370300, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}]}"
"12","{u'_id': ObjectId('562f0a30a9728d0c2c8f558a'), u'relationship': [{u'accountId': 100094336, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132002}, {u'accountId': 100094336, u'relationshipChangeTime': 132002, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124857}, {u'accountId': 100094336, u'relationshipChangeTime': 132002, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124857}]}"
"13","{u'_id': ObjectId('562f0a30a9728d0c2c8f558b'), u'relationship': [{u'accountId': 100102941, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 131959}, {u'accountId': 100102941, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}, {u'accountId': 100102941, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}]}"
"14","{u'_id': ObjectId('562f0a30a9728d0c2c8f558c'), u'relationship': [{u'accountId': 100062129, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132001}, {u'accountId': 100062129, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}, {u'accountId': 100062129, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}]}"
"15","{u'_id': ObjectId('562f0a30a9728d0c2c8f558d'), u'relationship': [{u'accountId': 100090250, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132000}, {u'accountId': 100090250, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}, {u'accountId': 100090250, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}]}"
"16","{u'_id': ObjectId('562f0a30a9728d0c2c8f558e'), u'relationship': [{u'accountId': 100067608, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132000}, {u'accountId': 100067608, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124855}, {u'accountId': 100067608, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124855}]}"
"17","{u'_id': ObjectId('562f0a30a9728d0c2c8f558f'), u'relationship': [{u'accountId': 100192962, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132002}, {u'accountId': 100192962, u'relationshipChangeTime': 132002, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124857}, {u'accountId': 100192962, u'relationshipChangeTime': 132002, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124857}]}"
"18","{u'_id': ObjectId('562f0a30a9728d0c2c8f5590'), u'relationship': [{u'accountId': 100068780, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132001}, {u'accountId': 100068780, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124855}, {u'accountId': 100068780, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124855}]}"
"19","{u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': u'00000000', u'ratingKey': u'', u'sapChangeTime': 115844, u'partnerId': 101101985, u'partnerTypeKey': 2, u'commonId': u'', u'sapCreateTime': 94831, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'JN Customer', u'accountName': u'ANNE TEST 14', u'accountClassKey': 5, u'statusKey': u'E0017', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Active', u'tranBlockReasonKey': u'', u'accountGroup': u'JN End Customer', u'sapCreateDate': 20151014, u'dataOriginKey': u'', u'accountClass': u'Other', u'sapChangeDate': 20151014, u'contactFirstName': u'', u'accountGroupKey': u'Z006', u'dataOrigin': u'', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5591'), u'relationship': {u'accountId': 101101985, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR001', u'contactId': 140001129, u'mode': u'I', u'relationshipDescription': u'Has Contact Person', u'validFrom': 20151014, u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 115829}, u'address': {u'website': u'', u'city': u'SUNNYVALE', u'language': u'', u'extension': u'', u'street1': u'1117 LEXINGTON DR', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'United States', u'postalCode': u'94087-1708', u'region': u'California', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u'0000000001'}}"
"20","{u'marketingAttributes': {u'serviceRequestEntitlement': u'', u'srByEmail': u'', u'citizenship': u'', u'srEntitlement': u'', u'authorizedForRma': u'', u'accountTemperature': u'', u'entitlementValidTill': u'', u'rmaEntitlement': u'', u'accountServiceLevel': u'Non-Key', u'analysisFlag': u'', u'courtesyCall': u'', u'temperatureEndDate': u''}, u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': 20120830, u'ratingKey': u'', u'sapChangeTime': 32206, u'partnerId': 100685324, u'partnerTypeKey': 2, u'commonId': u'OE_397012', u'sapCreateTime': 63922, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'Customer', u'accountName': u'MAHR FEDERAL', u'accountClassKey': 4, u'statusKey': u'E0017', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Active', u'tranBlockReasonKey': u'', u'accountGroup': u'JN End Customer', u'sapCreateDate': 20140514, u'dataOriginKey': u'0004', u'accountClass': u'Commercial', u'sapChangeDate': 20151015, u'contactFirstName': u'', u'accountGroupKey': u'Z006', u'dataOrigin': u'Conversion', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5592'), u'address': {u'website': u'', u'city': u'PROVIDENCE', u'language': u'', u'extension': u'', u'street1': u'1144 EDDY ST', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'USA', u'postalCode': u'02905-4511', u'region': u'Rhode Island', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u'0000000001'}}"
"21","{u'marketingAttributes': {u'serviceRequestEntitlement': u'', u'srByEmail': u'', u'citizenship': u'', u'srEntitlement': u'', u'authorizedForRma': u'', u'accountTemperature': u'', u'entitlementValidTill': u'', u'rmaEntitlement': u'', u'accountServiceLevel': u'Non-Key', u'analysisFlag': u'', u'courtesyCall': u'', u'temperatureEndDate': u''}, u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': 20120830, u'ratingKey': u'', u'sapChangeTime': 32206, u'partnerId': 100685324, u'partnerTypeKey': 2, u'commonId': u'OE_397012', u'sapCreateTime': 63922, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'Customer', u'accountName': u'MAHR FEDERAL', u'accountClassKey': 4, u'statusKey': u'E0017', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Active', u'tranBlockReasonKey': u'', u'accountGroup': u'JN End Customer', u'sapCreateDate': 20140514, u'dataOriginKey': u'0004', u'accountClass': u'Commercial', u'sapChangeDate': 20151015, u'contactFirstName': u'', u'accountGroupKey': u'Z006', u'dataOrigin': u'Conversion', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5593'), u'address': {u'website': u'', u'city': u'PROVIDENCE', u'language': u'', u'extension': u'', u'street1': u'1144 EDDY ST', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'USA', u'postalCode': u'02905-4511', u'region': u'Rhode Island', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u'0000000001'}}"
